,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
692,sporty,Ragwear,MENITA , Day dress,summer-dresses,54.99,dark green,,,Sweat,,"50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,"Inseam pockets, elasticated waist, decorative buttons",R5921C0B8-P11,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
693,casual chic,Ted Baker,SKIALA , Day dress,summer-dresses,164.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Print,Elasticated waist,TE421C0L6-G11,Short,Elbow length,"34.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)"
694,edgy,Object,BAYA FANIA  , Day dress,summer-dresses,39.99,brown,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Polka dot,,OB121C0PR-O11,Knee-length,"26.0 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,,"15.5 "" (Size 8)"
695,alternative,Nly by Nelly,ADORABLE SPORTSCUT DRESS , Day dress,summer-dresses,42.99,white,,,"Lace, chiffon",Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Zip,Crew neck,Plain,"Bust darts, slip, fringing",NEG21C07Y-A11,Extra short,Spaghetti straps,"34.5 "" (Size 8)",Fitted waist,"Our model is 5' 9""  tall and is wearing size 8","12.0 "" (Size 8)"
696,trendy,Anna Field,BOAT NECK PRINT DRESS WITH SOLID SKIRT , Jersey dress,summer-dresses,24.99,black/white,,,Jersey,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Polka dot,,AN621C1KC-Q11,Knee-length,Elbow length,"36.0 "" (Size XS)",Slim Fit,,
697,girly,edc by Esprit,CREPE , Day dress,summer-dresses,43.99,sand,,,,Semi-sheer,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Laces,V-neck,Print,,ED121C0XF-B11,Knee-length,"25.5 "" (Size S)","37.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
698,casual chic,Abercrombie & Fitch,Day dress,,summer-dresses,89.99,white,,,,,"95% polyester, 5% elastane",,Machine wash at 30°C,,,,Zip,Backless,Plain,Bust darts,A0F21C09P-A11,Short,"Sleeveless, spaghetti straps","29.0 "" (Size S)",Slim Fit,,
699,edgy,ONLY Petite,ONLPELLA DRESS , Day dress,summer-dresses,26.34,black multi-coloured,,,,Semi-sheer,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Floral,"Elasticated waist, slip",OP421C092-Q13,Calf-length,"17.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
700,classic,IVY & OAK,DRESS MIDI , Cocktail dress / Party dress,Cocktail Dresses,179.99,black,,,Lace,,"75% cotton, 25% polyamide",100% viscose,Dry clean only,,,,Zip,Backless,Plain,"Bust darts, padded bust, slip",IV321C08L-K11,Calf-length,Extra short,"49.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
701,alternative,4th & Reckless,HELEN DRESS , Cocktail dress / Party dress,Cocktail Dresses,47.99,black,,,,,100% polyester,"90% polyester, 10% elastane","Do not tumble dry, Hand wash only",,,,Laces,Backless,Plain,"Slip, sequins",4T021C039-Q11,Extra short,"22.0 "" (Size 8)","31.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
702,sporty,Superdry,COLLEGE CREW , Day dress,summer-dresses,25.0,electric blue,,,Sweat,,100% cotton,,"Do not bleach, do not tumble dry",,,,,Crew neck,Print,,SU221C0PF-K11,Short,Long,,Oversized,,
703,trendy,Bruuns Bazaar,EVANTHE MILITY DRESS , Cocktail dress / Party dress,Cocktail Dresses,249.99,white,,,Lace,,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Zip,,Plain,Slip,BR321C09Q-A11,Short,"27.0 "" (Size 8)","33.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",
704,alternative,Vero Moda,VMANNA SLIT CALF DRESS , Day dress,summer-dresses,26.39,blue,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,,VE121C37J-K11,Calf-length,"23.0 "" (Size S)","43.0 "" (Size S)",Regular Fit,,"16.0 "" (Size S)"
705,sporty,Pieces Petite,PCCHILLI DRESS , Day dress,summer-dresses,25.99,pink,,,Sweat,,"60% cotton, 40% polyester",,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Hood,,,,,Plain,,PIT21C03T-J11,Short,"22.5 "" (Size S)","30.5 "" (Size S)",Loose Fit,,
706,edgy,JDY,PIPER  , Day dress,summer-dresses,23.99,black multi-coloured,,,,Semi-sheer,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,,,Button,,Floral,,JY121C0J4-Q13,Extra short,"23.0 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,,"16.0 "" (Size 8)"
707,alternative,Mango,FRUIT,H ,summer-dresses,49.99,white multi-coloured,,,,,"75% viscose, 25% polyester",,,,,,Button,Crew neck,Print,,M9121C5JI-A11,Calf-length,Spaghetti straps,,Regular Fit,,
708,unknown,3.1 Phillip Lim,SHIRRED DRESS DETACHABLE COLLAR , Cocktail dress / Party dress,Cocktail Dresses,435.0,black,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Shawl collar,,,Zip,Square neck,Plain,Bow,31021C01C-Q11,Knee-length,"23.5 "" (Size 8)","40.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)"
709,edgy,ONLY,ONLMARCELA WRAP DRESS , Day dress,summer-dresses,29.74,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Pinstriped,Slip,ON321C2O1-K11,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","12.5 "" (Size S)"
710,classic,Cartoon,WRAP LEO PRINT DRESS , Day dress,summer-dresses,64.99,black/white,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Animal print,,C0421C05S-B11,Knee-length,Extra short,"38.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",
711,unknown,Theory,ANGLED SEAM , Day dress,summer-dresses,325.0,black,,,Satin,,"58% viscose, 42% silk",100% polyester,Dry clean only,,,,Zip,Crew neck,Print,"Bust darts, slip",T4021C00T-Q11,Calf-length,Sleeveless,"47.5 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
712,girly,VILA PETITE,VIKALILA CAPSLEEVE DRESS , Day dress,summer-dresses,34.99,pastel pink,,,Lace,,"92% polyamide, 8% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,"Bust darts, slip",VIP21C03Z-J11,Short,Short,"34.5 "" (Size S)",Regular Fit,,"13.0 "" (Size S)"
713,classic,Esprit,DRESSES , Day dress,summer-dresses,54.99,off-white,,,Jersey,,100% cotton,,"Machine wash at 40°C, do not tumble dry",,,,,Crew neck,Striped,,ES121C22D-A11,Knee-length,Long,"37.5 "" (Size 8)",Regular Fit,,
714,alternative,Farm Rio,MIXED PATCHWORK MINI DRESS , Day dress,summer-dresses,189.99,multi-coloured,,,,,100% cotton,100% cotton,Hand wash only,,,,,Low-cut v-neck,Print,Crochet Detailing,F0I21C03H-T11,Short,"24.5 "" (Size 8-10)","34.5 "" (Size 8-10)",Loose Fit,,"13.5 "" (Size 8-10)"
715,girly,Love Copenhagen,NINO DRESS , Cocktail dress / Party dress,Cocktail Dresses,109.99,pastel pink,,,,,"70% polyester, 27% cotton, 3% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Floral,,L1G21C05W-J11,Knee-length,Elbow length,"40.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","12.0 "" (Size 8)"
716,alternative,Never Fully Dressed Tall,DISCO GROOVE MIDI DRESS , Day dress,summer-dresses,104.99,multi-coloured,,,,,100% polyester,,Dry clean only,Standing collar,,,Zip,,Print,Bust darts,N0L21C01A-J11,Calf-length,"25.5 "" (Size 10)","50.0 "" (Size 10)",Regular Fit,,"14.0 "" (Size 10)"
717,trendy,MICHAEL Michael Kors,SOFT PYTHON , Cocktail dress / Party dress,Cocktail Dresses,234.99,black/red,,,,,100% polyester,100% polyester,Dry clean only,,,,,Crew neck,Animal print,Slip,MK121C0KC-G11,Calf-length,Sleeveless,,Regular Fit,,
718,unknown,Cotton On Petite,PETITE WRAP , Day dress,summer-dresses,28.99,red,,,Chiffon,,100% viscose,,"Machine wash at 40°C, do not tumble dry",,,,Hook fastening ,Cache-coeur,Plain,Belt included,C6A21C00A-G11,Short,Short,"34.5 "" (Size S)",Regular Fit,,"13.5 "" (Size S)"
719,trendy,Holzweiler,DIZZY DRESS , Day dress,summer-dresses,215.0,pastel yellow,,,,,"78% cotton, 22% nylon",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Crew neck,Plain,,HO021C02H-B11,Knee-length,"24.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)"
720,edgy,Mango,PORTOFIN , Day dress,summer-dresses,35.99,black/white,,,,,100% polyester,100% polyester,,,,,,V-neck,Animal print,,M9121C5L1-A11,Short,,,Regular Fit,,
721,casual chic,Iro,CAILA , Cocktail dress / Party dress,Cocktail Dresses,499.99,black/green,,,,,100% silk,100% viscose,Dry clean only,,,,Button,Crew neck,Print,Slip,IR221C04I-F11,Short,"25.0 "" (Size 10)","33.0 "" (Size 10)",Regular Fit,,"15.0 "" (Size 10)"
722,casual chic,2nd Day,LITA , Day dress,summer-dresses,139.99,bright multi-coloured,,,Satin,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Print,Adjustable straps,S3821C05T-K11,Calf-length,Spaghetti straps,"41.5 "" (Size 8)",Regular Fit,,
723,edgy,GAP,FLOUNCE DRESS , Day dress,summer-dresses,46.74,black/brown,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Animal print,,GP021C0KM-O11,Knee-length,"25.0 "" (Size M)","33.5 "" (Size M)",Loose Fit,"Our model is 5' 10""  tall and is wearing size M","16.0 "" (Size M)"
724,girly,TFNC,ELOIS MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,49.99,bordeaux,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",,,,Zip,Backless,Plain,Slip,TF121C0M3-G11,Calf-length,Sleeveless,"45.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)"
725,classic,ONLY Tall,ONLALICE DRESS , Day dress,summer-dresses,30.99,blue,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,"Belt included, slip",OND21C07P-K11,Knee-length,Long,,Regular Fit,,
726,casual chic,Needle & Thread,ROSIE MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,394.99,black multi-coloured,,,Tulle,,100% polyester,100% polyester,Dry cleanable,Standing collar,,,Zip,,Floral,"Slip, border, embroidery",NT521C0FV-Q11,Short,Short,"36.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
727,girly,NA-KD,COWL NECK MINI DRESS , Day dress,Cocktail Dresses,39.99,white,,,,,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Square neck,Plain,"Adjustable straps, slip",NAA21C0LY-A11,Short,"Spaghetti straps, elbow length","33.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)"
728,girly,IVY & OAK,MACIA , Day dress,summer-dresses,239.99,white,,,,Semi-sheer,"60% polyester, 40% cotton",100% cotton,,,,,Button,,Plain,Slip,IV321C0BL-A11,Short,3/4 length,,Regular Fit,,
729,girly,YAS,YASFIA MIDI DRESS , Day dress,summer-dresses,55.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,,,Button,,Floral,,Y0121C1SW-T11,Calf-length,"25.0 "" (Size S)","47.0 "" (Size S)",Loose Fit,,"14.0 "" (Size S)"
730,classic,Massimo Dutti,IN SATINOPTIK MIT KURZEN Ã„RMELN , Day dress,summer-dresses,149.0,burnt orange,,,Satin,,"71% acetate, 29% viscose","71% acetate, 29% viscose",,,,,,V-neck,Plain,,M3I21C0GI-H11,Calf-length,Elbow length,"51.5 "" (Size M)",Loose Fit,,
731,girly,Cream,CRWILLOW DRESS , MOLLIE FIT ,summer-dresses,79.99,green,,,,,100% viscose,,,,,,Zip,Backless,Print,,CR221C0NE-M11,Knee-length,Sleeveless,"31.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
732,girly,Libertine-Libertine,Day dress,,summer-dresses,174.99,pastel blue,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",,,,Button,Crew neck,Print,Bust darts,LIQ21C02V-K11,Calf-length,Short,"47.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)"
733,alternative,Nly by Nelly,TOO GOOD COLLAR DRESS , Day dress,summer-dresses,34.99,red,,,Rib,,"64% polyester, 33% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,,V-neck,Plain,,NEG21C0I2-G11,,"25.0 "" (Size S)","34.5 "" (Size S)",Bodycon,,
734,edgy,Alice + Olivia,KYRIE COMBO TUXEDO DRESS , Day dress,summer-dresses,450.0,black/white,,,,,100% polyester,"94% polyester, 6% elastane",Dry clean only,Lapel collar,,,Button,,,"Inseam pockets, button row, shoulder pads, slip",A2N21G008-Q11,Extra short,"23.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
735,alternative,BOSS,DIBANORA , Day dress,summer-dresses,379.0,black,,,,,100% viscose,,"Clean with leather care products, do not tumble dry, Do not wash",Standing collar,,,Belt,V-neck,Plain,Belt included,BB121C0EL-Q11,Calf-length,Long,"46.5 "" (Size 8)",Regular Fit,,
736,edgy,Esprit,LIGHT , Day dress,summer-dresses,55.0,black,,,,,100% viscose,,"Do not bleach, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,,,Print,Button row,ES121C225-Q11,Knee-length,Long,,Regular Fit,,
737,classic,Anna Field,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,27.19,bordeaux,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,,AN621C1PC-G11,Calf-length,"16.0 "" (Size S)","47.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",
738,edgy,Oakwood,DANCE , Day dress,summer-dresses,237.99,black,,,,,100% leather,,,,,,Zip,Low-cut v-neck,Plain,Inseam pockets,OA121C00L-Q11,Knee-length,Short,"42.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)"
739,classic,GAP,PARTY TIE WAIST DRESS , Day dress,summer-dresses,43.99,bordeaux,,,Satin,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,Belt included,GP021C0KD-G11,Short,"23.5 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
740,alternative,Faithfull the brand,LECCO MINI DRESS , Day dress,summer-dresses,170.0,yellow,,,,,100% viscose,100% viscose,Hand wash only,,,,Laces,Square neck,Floral,Slip,F0O21C022-E11,Extra short,Short,"29.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
741,trendy,Vero Moda Curve,VMGABY  , Day dress,summer-dresses,54.99,black,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Animal print,Bust darts,VEE21C0D1-Q11,Short,"24.5 "" (Size 16)","34.5 "" (Size 16)",Regular Fit,,"15.0 "" (Size 16)"
742,girly,Vero Moda Petite,VMSAY DRESS PETITE , Denim dress,summer-dresses,43.99,denim,,,Denim,,"73% cotton, 26% polyester, 1% elastane",,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,,Belt included,VM021C0CO-K11,Knee-length,Short,"37.5 "" (Size S)",Slim Fit,,"14.0 "" (Size S)"
743,trendy,Mango,POMELO , Day dress,summer-dresses,29.99,green,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,Print,,M9121C5KI-M11,Calf-length,3/4 length,,Regular Fit,,
744,girly,Kaffe,BINNI DRESS , Day dress,summer-dresses,74.99,sand,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Laces,V-neck,Floral,,KA321C0RK-B11,Knee-length,"27.0 "" (Size 8)","36.0 "" (Size 8)",Loose Fit,,"13.5 "" (Size 8)"
745,sporty,G-Star,MILLERY MOCK DRESS , Day dress,summer-dresses,114.99,grey,,,,,100% lyocell,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,Side pockets,,,Plain,,GS121C0DA-C11,Short,Sleeveless,"37.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","12.0 "" (Size S)"
746,casual chic,Vila,VIVISH O NECK SHORT DRESS , Day dress,Cocktail Dresses,34.99,navy,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,Belt included,V1021C2YA-Q11,Short,"26.0 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)"
747,edgy,Gestuz,MARIETTA WRAP DRESS , Day dress,summer-dresses,179.99,black,,,,,100% viscose,100% viscose,,,,,Laces,Cache-coeur,,Slip,GE221C0AG-Q11,Calf-length,"25.0 "" (Size 8)","49.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
748,classic,Vila,VITINNY , Day dress,summer-dresses,24.99,black,,,Jersey,,"79% polyester, 18% viscose, 3% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,Bust darts,V1021C0MM-Q12,Short,"17.5 "" (Size S)","32.5 "" (Size S)",Wide cut,"Our model is 5' 10""  tall and is wearing size S",
749,alternative,Missguided Petite,SEQUIN CORSET DRESS , Cocktail dress / Party dress,Cocktail Dresses,35.99,black,,,Mesh,,100% polyester,100% polyester,Hand wash only,,,,Zip,,Plain,"Adjustable straps, sequins, slip",M0V21C0OB-Q11,Short,Spaghetti straps,"33.5 "" (Size 8)",Bodycon,"Our model is 5' 5""  tall and is wearing size 8",
750,girly,Swing,Occasion wear,,Occasion dresses,199.99,white,,,Chiffon,,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, Do not wash",,,,Zip,Cache-coeur,Plain,Slip,SG721C0LW-A11,Long,Elbow length,"57.5 "" (Size 10)",Regular Fit,,"12.5 "" (Size 10)"
751,edgy,Vero Moda Curve,VMHENNA SHORT DRESS , Day dress,summer-dresses,24.49,black,,,,,100% viscose,,,,,,Button,Low-cut v-neck,Plain,Inseam pockets,VEE21C0CG-Q11,Knee-length,"20.5 "" (Size 16)","37.0 "" (Size 16)",Oversized,,"15.5 "" (Size 16)"
752,classic,RIANI,Day dress,,summer-dresses,,black,,,,,"82% triacetate, 18% polyester",,Dry clean only,,,,Laces,Low-cut v-neck,Plain,Bow,RIJ21C03P-Q11,Knee-length,"23.5 "" (Size 10)","44.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)"
753,girly,Mango,SITA H , Day dress,summer-dresses,49.99,pastel purple,,,,Very sheer,100% cotton,100% cotton,,,,,,Square neck,Plain,,M9121C5J0-I11,Knee-length,Short,,Regular Fit,,
754,classic,IVY & OAK BRIDAL,DIVINIA , Occasion wear,Occasion dresses,374.99,white,,,,,"74% viscose, 18% polyamide, 8% polyester",100% viscose,"Do not tumble dry, Do not wash",,,,Zip,,,"Button row, bust darts, slip",IV521C02N-A11,Long,"26.0 "" (Size 8)","57.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
755,trendy,Vila,VICLARETTE V NECK ANKLE DRESS , Day dress,summer-dresses,59.99,white multi-coloured,,,Chiffon,Semi-sheer,100% polyester,,Machine wash at 30°C,,,,,Cache-coeur,Floral,"Belt included, elasticated waist, slip",V1021C2YK-M11,Long,"17.5 "" (Size 10)","54.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",
756,trendy,Cinq Ã  Sept,CLARISSA DRESS , Day dress,summer-dresses,315.0,black,,,,,"69% triacetate, 31% polyester","95% polyester, 5% elastane",Dry clean only,,,,Zip,Scoop neck,Plain,"Bust darts, slip, bow",CIG21C011-Q11,Short,"21.5 "" (Size 8)","33.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)"
757,classic,WEEKEND MaxMara,REMO , Day dress,summer-dresses,284.99,blue,,Yes,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Striped,"Belt included, inseam pockets",MW721C096-K11,Calf-length,"23.0 "" (Size 8)","48.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","17.0 "" (Size 8)"
758,classic,Esprit,Day dress,,summer-dresses,45.0,sand,,,,,"97% cotton, 3% elastane",,"Machine wash at 40°C, Do not bleach",Turn-down collar,,,,,Plain,,ES121C24Q-B11,Knee-length,Short,,Regular Fit,,
759,classic,TOM TAILOR,Day dress,,summer-dresses,69.99,navy,,,Mesh,Semi-sheer,"90% polyester, 10% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Polka dot,Slip,TO221C0N3-T11,Calf-length,"24.0 "" (Size 10)","50.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",
