"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Blue,Electric blue,Silver","Striped","Henley neckline","Mandarin collar,Peter pan collar","I don't have a preference on materials","Bodycon dresses,Pleated dresses","Extra short,Short,Thigh length","Dusty pink,Pastel pink,Pastel yellow,Yellow",Slim fit,"Short","Only,Vila,NA-KD",,Negative,Neutral,No,No,Neutral,< â‚¬40,165,17,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦"
"Gold,Pink","Small floral,Large floral,Paisley,Striped,Polka dot","Cowl neckline,Round neckline,Boat neckline (wide)","Mandarin collar,Zip neck collar","I don't have a preference on materials","Polo dresses,Button down dresses","Extra short,Short,Calf length,Maxi/long","Army green,Black,Blue,Burgundy,Brown,Burnt orange,Dark green,Dusty pink,Electric blue,Gold,Green,Grey,Navy,Off-white,Orange,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Pink,Purple,Red,Sand,Silver,Stone,White,Yellow,I like all these colors",I don't have a preference,"Strapless,Long","Hugo Boss,River Island",,Neutral,Negative,Neutral,Yes,Yes,I would rather not say,177,20,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,5- Very likely to wear,1- Very unlikely to wear,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Dusty pink,Pastel pink,Pink,Purple,Red","Large floral,Paisley","Cowl neckline,Square neckline","Volant/frill collar","I don't have a preference on materials","I like all these types of dresses","Thigh length,Knee length,Calf length,Maxi/long","Army green,Black,Blue,Dark green,Grey,Navy,Pastel blue,Pastel green",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Esprit",,Neutral,Neutral,No,Yes,Neutral,â‚¬40-80,165,24,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Brown,Dusty pink,Gold,Pastel yellow,Silver,Yellow","Animal print,Paisley","I like every neckline","Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","Satin,Silk","Bodycon dresses,Polo dresses,Pleated dresses","Short","Blue,Dark green,Grey,Navy,Pastel blue,Red","Slim fit,Regular fit","Sleeveless,Short,Long","Other options:","Leviâ€™s",Neutral,Negative,No,Yes,Neutral,â‚¬40-80,170cm,23,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Electric blue,Purple,Red,Silver","Small floral,Paisley,Prints in general","Henley neckline,Cowl neckline,Boat neckline (wide)","Mandarin collar,Peter pan collar,Volant/frill collar,Standing collar","Jersey,Chiffon","Bodycon dresses,Hooded dresses,Polo dresses","Short,Maxi/long","Black,Blue,Navy,Off-white,Pastel green,Pastel pink,Pastel purple,Pastel yellow,White",Loose fit,"Sleeveless,Long","Mango,Other options:","Adidas",Negative,Neutral,No,No,No,â‚¬40-80,162 cm,23,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Grey,Off-white,Pastel orange,Pastel yellow,Pink,Purple,Red,Silver","Animal print,Paisley","Square neckline,Spaghetti straps","Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","Chiffon,Lace,Satin,Linnen","Wrap dresses,Bodycon dresses,Hooded dresses","Thigh length,Knee length,Calf length","Black,Blue,Burgundy,Brown,Burnt orange,Dark green,Electric blue,Green,Pastel green",Regular fit,"Sleeveless,Short,Elbow length,Long","Superdry,Ralph Lauren,Marc'o polo,NA-KD,Tommy Hilfiger",,Negative,Negative,Yes,Yes,Neutral,â‚¬120 - 200,170cm,48,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,5- Very likely to wear,1- Very unlikely to wear,3- Neutral,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Gold,Green,Orange,Red","Animal print,Checked","Henley neckline,Round neckline","Mandarin collar,Peter pan collar,Zip neck collar","Leather","Bodycon dresses","Extra short,Short,Knee length","Blue,Burgundy,Brown,Navy,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pastel yellow,Silver",Regular fit,"Sleeveless,Short,Elbow length,Long","Only,Esprit",,Neutral,Negative,Neutral,No,Neutral,â‚¬40-80,163,43,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Pink","Animal print","Spaghetti straps","Peter pan collar","Leather,Lace","Bodycon dresses,Hooded dresses,Polo dresses","Thigh length,Knee length,Calf length","Army green,Black,Dark green,Navy,Pastel purple",Regular fit,"Elbow length","Mango,Other options:","Selected Femme, Massimo Duti, Another Label",Negative,Negative,No,Neutral,No,â‚¬40-80,160,26,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,3- Neutral,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style"
"Burgundy,Brown,Electric blue,Green,Orange,Pastel green,Pastel orange,Pastel purple,Pastel yellow,Sand","I don't like any of these prints (you prefer plain clothing)","Henley neckline,Cowl neckline,Round neckline,V-neck,Low v-neck,Square neckline","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar","Sweat,Lace,Linnen,Silk","Wrap dresses,Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Thigh length,Maxi/long","Army green,Off-white",Slim fit,"Short,One shoulder","Only,Vila,Superdry",,Negative,Negative,Yes,Yes,No,â‚¬120 - 200,162,45,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Electric blue,Orange,Pink,Purple","Checked,Large floral","Cowl neckline,Square neckline,Spaghetti straps","Peter pan collar,Bow/shawl collar,Zip neck collar","Leather,Lace","Wrap dresses,Polo dresses,Pleated dresses","Thigh length,Knee length,Calf length,Maxi/long","Army green,Brown,Burnt orange,Dark green,Dusty pink,Navy,Pastel blue,Pastel green","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Vila,Esprit,Tommy Hilfiger",,Neutral,Negative,Yes,No,Yes,â‚¬120 - 200,177,51,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,5- Very likely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Electric blue,Gold,Pastel yellow,Silver,Yellow","Large floral,Paisley,Striped,Prints in general","Low round neckline,Low v-neck,Square neckline","Peter pan collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Hooded dresses,Polo dresses","Thigh length,Maxi/long","Black,Brown,Green,Grey,Orange,Pastel blue,Pastel green,Pastel purple,Pink,Red","Regular fit,Loose fit","Sleeveless,Elbow length,Long","Other options:","Essentiel, zara, wear",Neutral,Negative,Neutral,Yes,No,â‚¬80-120,160,22,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Electric blue,Green,Orange,Pink,Purple,Red,Sand","Animal print,Large floral","Cowl neckline,Boat neckline (wide),Spaghetti straps","Bow/shawl collar,Volant/frill collar","Leather,Linnen,Silk,Wool","Bodycon dresses,Hooded dresses,Pleated dresses","Calf length,Maxi/long","Black,Navy,Off-white,Pastel blue,Pastel pink,White",Regular fit,"Elbow length,Long","Esprit",,Neutral,Neutral,No,No,No,â‚¬40-80,"1,67 m",59,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Electric blue,Gold,Green,Orange,Pastel blue,Pastel orange,Pastel pink,Silver,Yellow","Animal print,Large floral,Paisley,Striped,Polka dot,Prints in general","Round neckline,Boat neckline (wide)","Mandarin collar,Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses","Extra short,Short","Black,Burgundy,Navy,Purple,Red","Slim fit,Regular fit","Sleeveless,Short,One shoulder,Long","NA-KD,Other options:","RAGGED PRIEST",Neutral,Negative,Yes,Yes,Neutral,< â‚¬40,171,22,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,3- Neutral,3- Neutral,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Blue,Gold,Green,Grey,Orange,Pastel orange,Pink,Purple,Silver","Checked,Paisley,Striped,Polka dot","Round neckline,Low round neckline,Boat neckline (wide),Square neckline","Mandarin collar,Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","Leather,Jersey","Hooded dresses","Thigh length,Calf length,Maxi/long","Army green,Black,Brown,Dark green,Off-white,Pastel blue,Pastel green,Sand,Stone",Regular fit,"Sleeveless,Short,Elbow length,Long","NA-KD",,Negative,Negative,Neutral,Yes,Neutral,â‚¬40-80,"175cm ",23,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Electric blue,Gold,Orange,Pastel green,Pastel orange,Pastel pink,Pink","I don't like any of these prints (you prefer plain clothing)","Cowl neckline,Low round neckline,V-neck,Spaghetti straps","Lapel collar,Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","Leather,Jersey,Chiffon,Lace,Satin,Linnen,Silk","Accentuating the waist,Wrap dresses,Bodycon dresses,Polo dresses,Pleated dresses","Short,Thigh length","Army green,Black,Burgundy,Dark green,Navy,Sand",Loose fit,"Short,Elbow length,Long","Tommy Hilfiger",,Negative,Negative,Yes,Neutral,Neutral,< â‚¬40,174,22,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Sporty - Adaptation of activewear, comfort focused"
"Gold,Green,Orange","Animal print","I like every neckline","I like every collar","Leather,Wool","Bodycon dresses,Polo dresses","Short,Thigh length,Calf length,Maxi/long","Army green,Black,Burnt orange,Dark green,Dusty pink,Off-white,Pastel pink,Red,Stone,White",Regular fit,"Sleeveless,Short,Elbow length,Long","Only,Vila,JDY,Esprit,Other options:","CKS",Negative,Negative,Neutral,Neutral,No,"< â‚¬40,â‚¬40-80",1m63,23,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Burnt orange","Animal print,Paisley","Low round neckline,Low v-neck","I like every collar","Lace","Bodycon dresses,Polo dresses","Thigh length,Calf length","Black,Off-white,Pastel pink,Pastel purple,Sand,White",Regular fit,"Elbow length,Long","Mango,NA-KD,Other options:","EDITED",Negative,Neutral,Neutral,Yes,No,"< â‚¬40,â‚¬40-80",168 cm,24,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Gold,Grey,Silver","Paisley,Prints in general","Cowl neckline,Square neckline","Peter pan collar","Leather","Bodycon dresses,Hooded dresses,Pleated dresses","Knee length,Calf length","Blue,Dark green,Green,Off-white,Pastel green,Pastel purple,Pastel yellow,Red,Yellow",Regular fit,"Short,Elbow length","Vila,Hugo Boss,Yas",,Neutral,Negative,Yes,Neutral,Neutral,â‚¬120 - 200,1.80,48,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
