Style options,Styles,Random order,Original order,,link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,,0.963569342,3976,https://www.zalando.co.uk/bruuns-bazaar-abelia-houston-dress-day-dress-black-br321c09b-q11.html,https://www.zalando.co.uk/bruuns-bazaar-abelia-houston-dress-day-dress-black-br321c09b-q11.html,Bruuns Bazaar,ABELIA HOUSTON DRESS , Day dress,summer-dresses,Â£159.99,black,--,--,--,--,100% polyester,100% viscose,--,Standing collar,--,--,Button,--,Plain,Slip,BR321C09B-Q11,Knee-length,"26.0 "" (Size 8)","38.0 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.227290172,2046,https://www.zalando.co.uk/vero-moda-vmhubi-dress-day-dress-black-ve121c38m-q11.html,https://www.zalando.co.uk/vero-moda-vmhubi-dress-day-dress-black-ve121c38m-q11.html,Vero Moda,VMHUBI DRESS  , Day dress,summer-dresses,Â£24.49,black multi-coloured,--,--,Lace,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Floral,--,VE121C38M-Q11,Extra short,Elbow length,"32.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.188184424,4440,https://www.zalando.co.uk/summery-copenhagen-dress-day-dress-lavender-fogsuper-pink-cec21c03r-j11.html,https://www.zalando.co.uk/summery-copenhagen-dress-day-dress-lavender-fogsuper-pink-cec21c03r-j11.html,SUMMERY Copenhagen,DRESS , Day dress,summer-dresses,Â£159.99,pink,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,--,Bust darts,CEC21C03R-J11,Short,"23.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.942188046,3109,https://www.zalando.co.uk/edc-by-esprit-day-dress-black-ed121c0x9-q11.html,https://www.zalando.co.uk/edc-by-esprit-day-dress-black-ed121c0x9-q11.html,edc by Esprit,Day dress,,summer-dresses,Â£29.99,black,--,--,--,--,"95% viscose, 5% elastane",--,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Bow,ED121C0X9-Q11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.26908209,2334,https://www.zalando.co.uk/missguided-petite-frill-shoulder-dress-day-dress-olive-green-m0v21c0jr-m11.html,https://www.zalando.co.uk/missguided-petite-frill-shoulder-dress-day-dress-olive-green-m0v21c0jr-m11.html,Missguided Petite,FRILL SHOULDER DRESS , Day dress,summer-dresses,Â£29.99,yellow,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Volant collar,--,--,Zip,--,Plain,--,M0V21C0JR-M11,Short,Short,"29.5 "" (Size 8)",Slim Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.788291684,279,https://www.zalando.co.uk/superdry-day-dress-campus-red-su221c0oy-g11.html,https://www.zalando.co.uk/superdry-day-dress-campus-red-su221c0oy-g11.html,Superdry,Day dress,,summer-dresses,Â£27.50,orange,--,--,--,--,100% cotton,--,--,--,--,--,Button,Crew neck,Plain,Slip,SU221C0OY-G11,Short,Long,--,Loose Fit,--,--,--,--,--,--,--,--,100% cotton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.486783472,6397,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-orange-d0t21c00y-q12.html,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-orange-d0t21c00y-q12.html,David Koma,Occasion wear,,Occasion dresses,Â£470.00,red,--,--,Rib,--,"75% viscose, 23% nylon, 2% elastane",--,Dry clean only,--,Asymmetrical,--,Hook fasteningÂ ,Backless,Plain,--,D0T21C00Y-Q12,Long,"25.0 "" (Size 10)","60.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.65942313,5870,https://www.zalando.co.uk/mamalicious-mltajo-wrap-dress-day-dress-navy-blazersmall-flowers-m6429f0zg-k11.html,https://www.zalando.co.uk/mamalicious-mltajo-wrap-dress-day-dress-navy-blazersmall-flowers-m6429f0zg-k11.html,MAMALICIOUS,NURSING DRESS , Day dress,summer-dresses,Â£43.99,bright multi-coloured,--,--,--,--,100% polyester,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Cache-coeur,Floral,Bow,M6429F0ZG-K11,Knee-length,Short,"39.5 "" (Size 8)",Regular Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.710848368,6289,https://www.zalando.co.uk/lace-and-beads-savannah-cocktail-dress-party-dress-navy-ls721c0fu-k11.html,https://www.zalando.co.uk/lace-and-beads-savannah-cocktail-dress-party-dress-navy-ls721c0fu-k11.html,Lace & Beads,SAVANNAH , Occasion wear,Occasion dresses,Â£104.99,navy,--,--,Chiffon,--,100% polyester,100% polyester,Dry clean only,--,--,--,Zip,Crew neck,Plain,"Sequins, rhinestones",LS721C0FU-K11,Long,Extra short,"59.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.041448649,6549,https://www.zalando.co.uk/wal-g-one-shoulder-skater-dress-cocktail-dress-party-dress-magenta-wg021c0sb-i11.html,https://www.zalando.co.uk/wal-g-one-shoulder-skater-dress-cocktail-dress-party-dress-magenta-wg021c0sb-i11.html,WAL G.,ONE SHOULDER SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,bordeaux,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,--,WG021C0SB-I11,Short,"Sleeveless, extra short","32.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.645525029,1861,https://www.zalando.co.uk/drykorn-jenike-day-dress-brown-dr221c052-o11.html,https://www.zalando.co.uk/drykorn-jenike-day-dress-brown-dr221c052-o11.html,DRYKORN,JENIKE , Day dress,summer-dresses,Â£189.99,brown,--,--,Mesh,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Animal print,"Bust darts, slip",DR221C052-O11,Calf-length,"26.5 "" (Size S)","47.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.711306586,5552,https://www.zalando.co.uk/superdry-day-dress-black-su221c0nm-q11.html,https://www.zalando.co.uk/superdry-day-dress-black-su221c0nm-q11.html,Superdry,Day dress,,summer-dresses,Â£38.49,black,--,--,--,--,100% viscose,--,--,Standing collar,--,--,--,--,--,--,SU221C0NM-Q11,--,Long,--,--,--,--,--,--,--,--,--,--,100% viscose,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.195386928,6196,https://www.zalando.co.uk/cmeo-collective-feel-that-way-dress-occasion-wear-nude-cq421c03g-j11.html,https://www.zalando.co.uk/cmeo-collective-feel-that-way-dress-occasion-wear-nude-cq421c03g-j11.html,CMEO COLLECTIVE,FEEL THAT WAY DRESS , Occasion wear,Occasion dresses,Â£319.99,gold,--,--,Satin,--,"85% polyamide, 15% linen",100% cotton,--,--,Asymmetrical,--,Zip,--,Marl,--,CQ421C03G-J11,Long,"Elbow length, strapless","49.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.89902694,5884,https://www.zalando.co.uk/only-carmakoma-cartyras-dress-day-dress-kalamata-ona21c0cr-n11.html,https://www.zalando.co.uk/only-carmakoma-cartyras-dress-day-dress-kalamata-ona21c0cr-n11.html,ONLY Carmakoma,CARTYRAS DRESS , Day dress,summer-dresses,Â£34.84,army green,--,--,--,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Crochet Detailing,ONA21C0CR-N11,Knee-length,"20.0 "" (Size 16)","38.0 "" (Size 16)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 16","16.5 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.389217206,6619,https://www.zalando.co.uk/closet-london-pleated-dress-cocktail-dress-party-dress-ivory-cl921c0ur-t11.html,https://www.zalando.co.uk/closet-london-pleated-dress-cocktail-dress-party-dress-ivory-cl921c0ur-t11.html,Closet,LONDON PLEATED DRESS , Cocktail dress / Party dress,Cocktail Dresses,,white multi-coloured,--,--,Satin,--,"97% polyester, 3% elastane",--,Hand wash only,Standing collar,--,--,Zip,--,Animal print,Bust darts,CL921C0UR-T11,Calf-length,Elbow length,"46.0 "" (Size 10)",Regular Fit,--,"13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.375505229,7146,https://www.zalando.co.uk/ivy-and-oak-bridal-ailanto-cocktail-dress-party-dress-snow-white-iv521c02d-a11.html,https://www.zalando.co.uk/ivy-and-oak-bridal-ailanto-cocktail-dress-party-dress-snow-white-iv521c02d-a11.html,IVY & OAK BRIDAL,AILANTO , Cocktail dress / Party dress,Cocktail Dresses,Â£599.99,white,--,--,Lace,--,"60% polyamide, 40% viscose",100% viscose,Dry clean only,Standing collar,--,--,Zip,Backless,Plain,"Adjustable straps, slip",IV521C02D-A11,Calf-length,"19.0 "" (Size 8)","45.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.290184826,5671,https://www.zalando.co.uk/noisy-may-nmlupa-dress-day-dress-black-nm321c0k8-q11.html,https://www.zalando.co.uk/noisy-may-nmlupa-dress-day-dress-black-nm321c0k8-q11.html,Noisy May,NMLUPA DRESS , Day dress,summer-dresses,Â£25.99,black,--,--,Sweat,--,"58% cotton, 42% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,NM321C0K8-Q11,Short,"24.0 "" (Size 10)","34.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.185012692,6168,https://www.zalando.co.uk/maya-deluxe-sleeveless-column-embellished-occasion-wear-burnt-amber-m2z21c09d-h11.html,https://www.zalando.co.uk/maya-deluxe-sleeveless-column-embellished-occasion-wear-burnt-amber-m2z21c09d-h11.html,Maya Deluxe,SLEEVELESS COLUMN EMBELLISHED  , Occasion wear,Occasion dresses,Â£144.99,dusty pink,--,--,"Jersey, tulle",--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Low-cut v-neck,Marl,"Bust darts, sequins",M2Z21C09D-H11,Long,Sleeveless,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.637402757,1910,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-crimson-ruby-to121c0fz-g12.html,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-crimson-ruby-to121c0fz-g12.html,Tommy Hilfiger,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,Â£90.99,bordeaux,--,--,Sweat,--,"64% cotton, 36% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,Hoodie pocket,--,--,Plain,Embroidery,TO121C0FZ-G12,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.828299585,7365,https://www.zalando.co.uk/theory-twist-midi-soft-cocktail-dress-party-dress-pale-lime-t4021c00s-m11.html,https://www.zalando.co.uk/theory-twist-midi-soft-cocktail-dress-party-dress-pale-lime-t4021c00s-m11.html,Theory,TWIST MIDI SOFT  , Cocktail dress / Party dress,Cocktail Dresses,Â£350.00,pastel green,--,--,Satin,--,"86% acetate, 14% polyester",--,Dry clean only,Turn-down collar,--,--,Zip,Low-cut v-neck,Plain,--,T4021C00S-M11,Calf-length,"20.0 "" (Size 10)","49.5 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.652699047,3838,https://www.zalando.co.uk/diesel-m-eugenie-day-dress-purple-di121c0bn-t11.html,https://www.zalando.co.uk/diesel-m-eugenie-day-dress-purple-di121c0bn-t11.html,Diesel,M EUGENIE , Day dress,summer-dresses,Â£224.99,brown,--,--,Rib,--,"97% cotton, 1% polyester, 1% metal, 1% elastane",--,"Do not tumble dry, Hand wash only",--,--,--,--,Crew neck,Print,--,DI121C0BN-T11,Short,Sleeveless,"34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.513562676,431,https://www.zalando.co.uk/vero-moda-tall-vmasta-singlet-dress-vip-day-dress-comfrey-veb21c0c2-i11.html,https://www.zalando.co.uk/vero-moda-tall-vmasta-singlet-dress-vip-day-dress-comfrey-veb21c0c2-i11.html,Vero Moda Tall,VMASTA SINGLET DRESS VIP , Day dress,summer-dresses,Â£21.99,green,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Backless,Plain,"Belt included, bust darts",VEB21C0C2-I11,Knee-length,Sleeveless,"40.0 "" (Size S)",Regular Fit,--,"12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.469990629,4078,https://www.zalando.co.uk/second-female-aronia-tunic-day-dress-cornflower-blue-se421c081-k11.html,https://www.zalando.co.uk/second-female-aronia-tunic-day-dress-cornflower-blue-se421c081-k11.html,Second Female,ARONIA TUNIC , Day dress,summer-dresses,Â£154.99,blue,--,--,--,--,100% viscose,100% viscose,Hand wash only,Mandarin collar,--,--,Button,--,Print,"Slip, bow",SE421C081-K11,Calf-length,"25.0 "" (Size S)","45.0 "" (Size S)",Loose Fit,--,"15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.793942717,2992,https://www.zalando.co.uk/vero-moda-vmbilli-cherry-v-neck-day-dress-willow-bough-ve121c3bq-m11.html,https://www.zalando.co.uk/vero-moda-vmbilli-cherry-v-neck-day-dress-willow-bough-ve121c3bq-m11.html,Vero Moda,VMBILLI CHERRY V NECK  , Day dress,summer-dresses,Â£34.99,green,--,--,--,--,100% polyester,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Print,--,VE121C3BQ-M11,Short,"23.0 "" (Size S)","36.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.089619214,7291,https://www.zalando.co.uk/missguided-cowl-neck-ruched-side-cocktail-dress-party-dress-metallic-m0q21c249-q11.html,https://www.zalando.co.uk/missguided-cowl-neck-ruched-side-cocktail-dress-party-dress-metallic-m0q21c249-q11.html,Missguided,COWL NECK RUCHED SIDE  , Shift dress,Cocktail Dresses,Â£24.99,gold,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Backless,Plain,"Adjustable straps, bow",M0Q21C249-Q11,Extra short,Spaghetti straps,"27.0 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.153650609,4388,https://www.zalando.co.uk/2nd-day-persimmon-day-dress-serenity-s3821c06h-k11.html,https://www.zalando.co.uk/2nd-day-persimmon-day-dress-serenity-s3821c06h-k11.html,2nd Day,PERSIMMON , Day dress,summer-dresses,Â£109.99,pastel blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Plain,--,S3821C06H-K11,Knee-length,"16.5 "" (Size 8)","36.5 "" (Size 8)",Loose Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.697121666,1049,https://www.zalando.co.uk/vila-vikawa-dress-day-dress-black-v1021c2v9-q11.html,https://www.zalando.co.uk/vila-vikawa-dress-day-dress-black-v1021c2v9-q11.html,Vila,VIKAWA NOOS , Day dress,summer-dresses,Â£29.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",100% polyester,Machine wash at 30Â°C,--,--,--,--,Low-cut v-neck,Plain,Slip,V1021C2V9-Q11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.146160063,1047,https://www.zalando.co.uk/edc-by-esprit-frill-dress-day-dress-new-black-ed121c0wk-q11.html,https://www.zalando.co.uk/edc-by-esprit-frill-dress-day-dress-new-black-ed121c0wk-q11.html,edc by Esprit,FRILL DRESS , Day dress,summer-dresses,From Â£29.99,black,--,--,Jersey,--,"95% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Animal print,--,ED121C0WK-Q11,Short,"24.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.292399074,2623,https://www.zalando.co.uk/day-birger-et-mikkelsen-nancy-day-dress-black-da321c06s-q11.html,https://www.zalando.co.uk/day-birger-et-mikkelsen-nancy-day-dress-black-da321c06s-q11.html,DAY Birger et Mikkelsen,NANCY , Day dress,summer-dresses,Â£209.99,black,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,Covered fastener,DA321C06S-Q11,Calf-length,"3/4 length, long",--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.946408619,7505,https://www.zalando.co.uk/wood-wood-lucille-gathered-dress-day-dress-dandelion-wo421c014-q11.html,https://www.zalando.co.uk/wood-wood-lucille-gathered-dress-day-dress-dandelion-wo421c014-q11.html,Wood Wood,LUCILLE GATHERED DRESS , Day dress,Cocktail Dresses,Â£234.99,white,--,--,--,--,"68% viscose, 20% nylon, 11% polyester, 1% elastane","92% polyester, 8% elastane","Machine wash at 30Â°C, Dry clean only",--,--,--,Zip,--,Plain,Slip,WO421C014-Q11,Calf-length,Spaghetti straps,"45.5 "" (Size 8)",Slim Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.337957759,1418,https://www.zalando.co.uk/object-objmila-bay-shirt-dress-day-dress-sky-captainacloud-dancer-ob121c0tc-k11.html,https://www.zalando.co.uk/object-objmila-bay-shirt-dress-day-dress-sky-captainacloud-dancer-ob121c0tc-k11.html,Object,OBJMILA BAY SHIRT DRESS  , Day dress,summer-dresses,Â£43.99,navy,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,Button,--,Print,"Belt included, bust darts, slip",OB121C0TC-K11,Knee-length,"24.5 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.590305648,3826,https://www.zalando.co.uk/bruuns-bazaar-dianella-ezrah-dress-day-dress-gray-down-br321c09k-c11.html,https://www.zalando.co.uk/bruuns-bazaar-dianella-ezrah-dress-day-dress-gray-down-br321c09k-c11.html,Bruuns Bazaar,DIANELLA EZRAH DRESS , Day dress,summer-dresses,Â£159.99,grey,--,--,--,--,"50% cotton, 40% polyester, 10% polyamide",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Low-cut v-neck,Checked,Slip,BR321C09K-C11,Knee-length,"25.0 "" (Size 8)","38.5 "" (Size 8)",Oversized,--,"15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.725512472,6291,https://www.zalando.co.uk/jarlo-occasion-wear-ivory-j3121c07u-a11.html,https://www.zalando.co.uk/jarlo-occasion-wear-ivory-j3121c07u-a11.html,Jarlo,Occasion wear,,Occasion dresses,Â£174.99,white,--,--,--,--,"97% polyester, 3% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",--,--,--,Zip,--,Plain,"Padded bust, slip, wired bustier",J3121C07U-A11,Long,"Strapless, sleeveless","52.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.596101866,3423,https://www.zalando.co.uk/only-petite-onlmolly-life-chicagoshirt-day-dress-desert-sage-op421c0cp-m11.html,https://www.zalando.co.uk/only-petite-onlmolly-life-chicagoshirt-day-dress-desert-sage-op421c0cp-m11.html,ONLY Petite,ONLMOLLY LIFE CHICAGOSHIRT , Day dress,summer-dresses,Â£34.99,pastel green,--,--,--,--,"80% viscose, 20% nylon",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Mandarin collar,--,--,Button,--,Plain,--,OP421C0CP-M11,Short,"17.0 "" (Size S)","34.0 "" (Size S)",Loose Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.319669218,7103,https://www.zalando.co.uk/herve-leger-ottoman-mini-fringe-dress-cocktail-dress-party-dress-black-hl421c065-q11.html,https://www.zalando.co.uk/herve-leger-ottoman-mini-fringe-dress-cocktail-dress-party-dress-black-hl421c065-q11.html,HervÃ© LÃ©ger,OTTOMAN MINI FRINGE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£940.00,black,--,--,--,--,"82% viscose, 16% nylon, 2% elastane",--,Dry clean only,--,--,--,Zip,--,Plain,Fringing,HL421C065-Q11,Short,Sleeveless,"36.0 "" (Size S)",Bodycon,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.791105604,5544,https://www.zalando.co.uk/naf-naf-kargentine-day-dress-oranger-na521c178-h11.html,https://www.zalando.co.uk/naf-naf-kargentine-day-dress-oranger-na521c178-h11.html,NAF NAF,KARGENTINE , Day dress,summer-dresses,Â£89.99,orange,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Cache-coeur,Plain,--,NA521C178-H11,Calf-length,Sleeveless,"53.5 "" (Size 8)",Slim Fit,--,"15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
