"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"trendy",3.5743438769638444E-11,6.569675092190374E-11,1.7256033210951537E-9,7.69537829316149E-5,0.005253451946100923,2.6111554234111496E-25,0.9946695924439239,199,1030,"Olivia Rubin","EMMY ",370.0,5,"bright multi-coloured","Satin","100% silk","100% polyester","Dry clean only",,,"Laces",,"Spaghetti straps","Checked","Slip","Calf length","Spaghetti straps","Spaghetti straps","49.0 "" (Size 8)","Slim Fit","Slim fit",,,"No","No","No","No","Yes","casual chic"
"girly",1.1092978853635672E-8,8.504513670632593E-5,8.740378187138988E-4,9.104792335794815E-6,0.997557125186992,2.1228419764866304E-11,0.0014746759510448346,200,1031,"Closet","CLOSET LONDON PUFF SLEEVE DRESS ",114.99,3,"pastel purple",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Round neckline","Floral",,"Calf length","24.0 "" (Size 10)","Long","46.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)","No","No","No","No","No","girly"
"girly",4.4053176083402424E-7,3.256562975362221E-6,0.38828604370793485,2.229417260623738E-4,0.5982405564237994,8.66911585145658E-11,0.013246760960776118,201,1032,"By Malina","SANNE DRESS ",259.99,5,"off-white",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Round neckline","Plain","Underskirt, bow",,"Elbow length","Elbow length","44.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","13.0 "" (Size 8)","No","No","No","No","No","girly"
"trendy",3.979536034893565E-6,1.303079597887812E-4,4.9427364921397306E-5,7.843719255246821E-8,0.0030000128163275522,5.523422983259583E-13,0.9968161938851825,202,1033,"Never Fully Dressed","SPRITZ SLEEVELESS WRAP ",104.99,3,"pink","Satin","100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Laces","Wrap dresses","Low v-neck","Prints in general",,"Calf length","Short","Short","49.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","trendy"
"sporty",2.837775053849222E-7,6.52270909094652E-14,3.6074940990621773E-9,1.4849081566214355E-12,1.2895548580837077E-15,0.9999997126121662,1.2828445640099554E-12,203,1034,"Ragwear","LAURA ",54.99,2,"burgundy","Sweat","50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Polo shirt",,"Belt","Polo dresses",,"Plain",,"Short","24.0 "" (Size S)","Long","35.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","sporty"
"girly",0.009128076460831174,0.028260898082120078,0.003539074609103282,1.3085858671432938E-4,0.9472006428633647,7.60289338433655E-6,0.011732846504482199,204,1035,"Pepe Jeans","LULIS ",69.99,2,"pink",,"100% polyester","100% polyester",,,,"Laces",,"Low v-neck","Prints in general","Slip","Short","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"classic",3.52087436909858E-5,0.005847662500889468,0.9311743157372322,3.896687864747446E-7,0.058868008573585796,2.377240732692972E-9,0.004074412398574421,205,1036,"Marella","KARLIE ",164.99,4,"white",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain","Inseam pockets","Knee length","19.0 "" (Size 10)","Elbow length","35.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 10","16.0 "" (Size 10)","Yes","yes","No","No","No","girly"
"classic",1.1635641905130598E-4,0.0025387227269851806,0.9964462528366795,8.731202504311131E-4,2.292439782110194E-5,1.1312690553504552E-13,2.6233689185628956E-6,206,1037,"Ralph Lauren","ABEL SHORT SLEEVE DAY DRESS ",174.99,4,"black multi-coloured","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip","Wrap dresses","Low v-neck","Floral","Belt included, bust darts, slip","Calf length","Short","Short","46.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","alternative"
"sporty",3.762489200448642E-14,8.971137614303442E-14,1.5985607868518467E-12,4.831315446109973E-11,9.159794453313434E-18,0.9999999998929712,5.698968728070917E-11,207,1038,"Calvin Klein","INCLUSIVE LOGO HOODIE DRESS ",116.99,3,"black","Sweat","64% cotton, 36% polyester",,"Do not tumble dry, machine wash at 30Â°C","Hood",,,"Hooded dresses",,"Plain",,"Knee length","24.5 "" (Size 20/22)","Long","36.0 "" (Size 20/22)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 20/22",,"No","No","No","No","No","sporty"
"alternative",0.9885517465542257,0.009531294324776616,1.7980001697039675E-5,0.0012233099776779697,5.667592159373215E-6,6.68939521115982E-4,1.0620283474688746E-6,208,1039,"Superdry","Day dress",44.99,2,"army green",,"100% lyocell",,,,,,,"Round neckline","Plain",,"Short","Short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","edgy"
"casual chic",3.2106753481535294E-4,0.8122842622394841,0.17047572730912058,0.013106688127990101,8.099360077446509E-4,1.610765981319245E-14,0.0030023187808289587,209,1040,"MICHAEL Michael Kors","FLORAL MIDI DRESS ",234.99,5,"black","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Low v-neck","Floral","Belt included, slip","Calf length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","casual chic"
"girly",2.9839644938932094E-18,1.0909335470196826E-15,1.9419793130083537E-13,3.875227874316073E-15,0.9999939578805865,3.4616598290795256E-24,6.042119214253892E-6,210,1041,"Mascara","Occasion wear",199.99,4,"pastel pink","Tulle","100% polyester","100% polyester","Do not tumble dry, Do not wash",,,"Zip",,"Spaghetti straps","Plain","Padded bust, slip, rhinestones, embroidery","Maxi/long","Spaghetti straps","Spaghetti straps","59.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","yes","No","Yes","girly"
"classic",6.379757773387894E-5,0.01137086743030383,0.9885472838308782,1.0325308448628896E-5,1.7965622553468452E-7,4.5372970905326306E-11,7.546151036955845E-6,211,1042,"Seidensticker","Day dress",129.99,4,"navy",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Square neckline","Floral","Inseam pockets","Knee length","18.0 "" (Size 10)","Elbow length","40.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10","13.5 "" (Size 10)","No","yes","No","No","No","casual chic"
"sporty",1.4616276315822497E-12,8.657715038723005E-14,6.571115339776409E-8,1.4727131701793736E-13,5.943542481868622E-14,0.9999999342830047,4.087017337838904E-12,212,1043,"Lounge Nine","SABI  DRESS ",41.99,2,"off-white","Sweat","70% cotton, 30% polyester",,,"Polo shirt",,,"Polo dresses","Round neckline","Plain",,"Knee length","24.0 "" (Size M)","Long","36.5 "" (Size M)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size M",,"No","No","No","No","No","sporty"
"girly",5.487375508323982E-6,0.012954073898433966,0.16986981472194548,0.10028862972350625,0.6694203040129088,4.765861017889685E-15,0.0474616902676924,213,1044,"By Malina","AMAIA DRESS ",189.99,4,"off-white",,"100% viscose","100% viscose","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Low v-neck","Floral","Slip","Knee length","21.5 "" (Size 8)","Long","34.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)","No","No","No","No","No","girly"
"girly",1.492512180316294E-9,6.034838530935958E-7,3.670038306026763E-5,7.523740080586776E-7,0.9996393002976157,1.737557707002817E-15,3.226419689490571E-4,214,1045,"By Malina","IRO DRESS ",259.99,5,"pastel purple",,"100% cotton","100% cotton","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,"Zip",,,"Polka dot","Bust darts, Crochet Detailing, button row, embroidery, slip","Short","Short","Short","33.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)","No","No","No","No","No","girly"
"alternative",0.9892874775376972,0.004335485656063446,0.004557434552645525,0.0018164043105251652,2.1457448487976375E-6,8.076996541646969E-10,1.0513905202398648E-6,215,1046,"Esprit","Day dress",39.99,1,"brown",,"100% viscose",,"Do not bleach, Do not iron, do not tumble dry, machine wash at 30Â°C",,,"Button",,"Round neckline","Plain",,"Knee length","Long","Long",,"Loose Fit","Loose fit",,,"No","No","No","No","No","alternative"
"classic",7.51935208562473E-6,7.955842148175711E-6,0.9993165849236613,6.131066257489821E-4,8.77117715718298E-7,2.0030080724886817E-5,3.392605791531328E-5,216,1047,"Tommy Hilfiger","OPEN POLO ",127.49,4,"black","Knit","100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,,"Button down dresses","V-neck","Plain",,"Knee length","25.0 "" (Size 18)","Long","43.0 "" (Size 18)","Slim Fit","Slim fit",,,"No","No","No","No","No","unknown"
"girly",2.1860708768171378E-4,4.264772302765891E-6,2.4354644705763067E-5,1.9268466366618586E-7,0.9949427570373293,4.816034354476238E-11,0.004809823725156598,217,1048,"Monki","Day dress",31.0,1,"pink",,"100% polyester",,"Machine wash at 40Â°C, do not tumble dry",,,"Laces",,"Round neckline","Floral","Elasticated waist","Calf length","Elbow length","Elbow length","44.5 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","Yes","girly"
"sporty",1.6840104275610684E-14,3.666991531893075E-16,1.657562576438202E-14,7.783853369370786E-12,9.630338021922559E-21,0.9999999999921307,5.159367945019455E-14,218,1049,"Calvin Klein","SEASONAL MONOGRAM HOODIE DRESS ",99.99,3,"black","Sweat","100% cotton",,"Machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,,"Hooded dresses",,"Prints in general",,"Knee length","22.0 "" (Size S)","Long","34.5 "" (Size S)","Regular Fit","Regular fit",,,"No","Yes","No","No","No","sporty"
"sporty",5.377741863197948E-16,4.004068123647537E-17,3.553201724365208E-16,4.786228801487708E-14,1.9468042421353054E-22,0.9999999999999447,6.41401565231506E-15,219,1050,"GAP","HOODIE DRESS ",37.59,1,"grey","Sweat","60% cotton, 40% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,,"Hooded dresses",,"Plain","Elasticated waist","Short","22.0 "" (Size S)","Long","34.0 "" (Size S)","Loose Fit","Loose fit",,,"No","No","No","No","No","sporty"
"edgy",2.3682186629596172E-7,3.3723338102780724E-9,0.24552006036054463,0.7416681737036301,9.985545207766463E-6,2.7785638281893147E-14,0.012801540196389466,220,1051,"kate spade new york","EMBELLISHED COLLAR ",284.99,5,"black",,"97% viscose, 3% elastane",,"Dry clean only","Turn-down collar",,"Zip","Button down dresses",,"Plain","Rhinestones","Knee length","Elbow length","Elbow length","33.5 "" (Size 12)","Regular Fit","Regular fit",,"14.5 "" (Size 12)","No","No","yes","No","No","edgy"
"classic",2.594531589667838E-6,8.230867283363727E-7,0.9978222037738385,4.4504937405871287E-4,5.4010540062234825E-9,3.851987861480152E-12,0.0017293238288784533,221,1052,"MAX&Co.","AGILE ",204.99,5,"black",,"100% polyester",,"Hand wash only",,,"Zip","Wrap dresses","Low v-neck","Animal Prints in general","Inseam pockets","Short","23.5 "" (Size 8)","Long","34.0 "" (Size 8)","Regular Fit","Regular fit",,"14.0 "" (Size 8)","No","yes","No","No","No","classic"
"sporty",3.833131341094626E-12,3.716560656238083E-12,1.5344724523717726E-11,1.2097578067994026E-9,1.4261764152471035E-16,0.999999998766538,8.095149337032459E-13,222,1053,"Noisy May","NMKAYLEE DRESS ",30.99,1,"black","Sweat","65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, Do not bleach","Zip neck",,"Zip",,,"Plain",,"Knee length","Long","Long",,"Loose Fit","Loose fit",,,"No","No","No","No","No","sporty"
"trendy",0.4648610947392743,0.014480176642949661,0.05183197354936143,1.667860510990312E-6,7.076275225447724E-5,5.814648701249412E-5,0.46869617796863655,223,1054,"NA-KD","TAILORED MINI DRESS ",49.99,2,"white",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,"Zip","Button down dresses","Low v-neck","Plain",,"Short","26.0 "" (Size 8)","Long","34.0 "" (Size 8)","Regular Fit","Regular fit",,"14.0 "" (Size 8)","No","No","No","No","No","trendy"
"sporty",4.130394500319515E-5,1.4232066109646937E-6,3.6344875220277233E-6,1.3877911634661467E-7,6.807987162079424E-5,0.9997251772050321,1.6024250509444527E-4,224,1055,"JDY","JDYPARIS  ",20.39,1,"off-white","Jersey, Sweat","60% cotton, 40% polyester",,"Machine wash at 40Â°C, do not tumble dry",,,,,"Round neckline","Plain","Embroidery",,"21.5 "" (Size S)","Long","32.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","trendy"
"trendy",7.756182409069477E-5,5.604016814428664E-4,2.7095117045117955E-4,0.02755495734244224,3.710280936503022E-4,9.620917719629976E-14,0.9711650998878265,225,1056,"Forever New","ROSA SHIRRED DRESS ",89.99,3,"burgundy","Satin","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Round neckline","Plain","Belt included, slip","Extra short","25.5 "" (Size 8)","Long","32.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"sporty",2.5275210927442446E-15,9.384088622942113E-17,1.6361416909138523E-15,9.095433647449896E-15,2.4840762878886714E-16,0.9999999999999842,2.1784361174512057E-15,226,1057,"Only","ONLDREAMER LIFEHOOD DRESS ",23.99,1,"pastel pink","Sweat","83% cotton, 17% polyester",,"Do not tumble dry, machine wash at 30Â°C","Hood",,,"Hooded dresses",,"Plain",,"Short","23.0 "" (Size S)","Long","35.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","sporty"
"casual chic",0.16876182751304378,0.5421598479438959,7.409585595272132E-4,8.725879257231925E-6,9.975162060706386E-7,0.28828420127160387,4.3441316465876304E-5,227,1058,"JDY","JDYNAPA  ",21.99,1,"grey","Sweat","98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Plain",,"Extra short","Elbow length","Elbow length","33.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","girly"
"alternative",0.9942125318423969,0.004921738607096545,2.1916174820927717E-6,5.510464486952584E-4,2.088572780658409E-5,2.9006070349304333E-12,2.9160575362235485E-4,228,1059,"Dr.Denim","EFFIE DUNGAREE DRESS ",54.99,2,"denim","Denim","100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,"Button",,"Square neckline",,"Adjustable straps","Extra short","Sleeveless","Sleeveless","32.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","12.0 "" (Size S)","No","No","No","No","No","alternative"
"classic",4.8064049475347375E-17,1.279742943403477E-13,0.997937268524106,7.075442639676539E-4,1.0210587632525978E-4,1.8251359296579806E-20,0.0012530813354730546,229,1060,"Iceberg","ABITO ",520.0,5,"black",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Accentuating the waist","Round neckline","Plain","Belt included","Calf length","Extra short","Short","44.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10",,"No","Yes","No","No","No","sporty"
"casual chic",5.6846154250411805E-5,0.9513216278899552,0.002213098722472257,0.033764763069689015,2.464749666762911E-5,3.605548953344272E-9,0.012619013061416223,230,1061,"SUMMERY Copenhagen","DRESS ",164.99,4,"purple",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Round neckline",,"Bust darts","Short","23.5 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","edgy"
"girly",0.0034160018849776863,0.00798111666049762,0.001253862718285315,1.7229796846135548E-5,0.9840768676903923,1.239419322716173E-10,0.003254921125058909,231,1062,"Forever New","MIKAYLA DRESS ",84.99,3,"white multi-coloured",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip","Wrap dresses","Low v-neck","Floral","Belt included, slip","Short","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"classic",1.9100571412505947E-6,2.1725197981543526E-5,0.9774391249951491,0.022537175177867696,9.340188362160482E-9,1.6157973199653335E-8,3.907369880667045E-8,232,1063,"Esprit","DRESSES LIGHT ",43.99,2,"black",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,,"Button down dresses","Low v-neck","Plain",,"Knee length","18.0 "" (Size 10)","Elbow length","37.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)","No","No","No","No","No","classic"
"casual chic",0.06323750433981927,0.8515388603494144,0.015491594168977418,0.05739443849984503,5.285554852803535E-5,1.712778970018052E-12,0.012284747091702932,233,1064,"Moves","TANSA ",64.99,2,"black","Chiffon","100% polyester","100% polyester","Machine wash at 40Â°C, do not tumble dry","Mandarin collar",,"Button","Accentuating the waist","Round neckline","Prints in general","Belt included, slip","Calf length","24.5 "" (Size 8)","Long","45.0 "" (Size 8)","Regular Fit","Regular fit",,"14.0 "" (Size 8)","No","No","No","No","No","casual chic"
"classic",0.04400047555349283,0.009051305500963412,0.9422531100070628,2.7098910812487783E-4,0.0019057475738671367,4.739800609122642E-6,0.0025136324558798066,234,1065,"Noa Noa","Day dress",149.99,4,"pink",,"100% lyocell",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Low v-neck","Floral",,"Knee length","19.5 "" (Size 8)","Long","39.5 "" (Size 8)","Loose Fit","Loose fit",,"15.0 "" (Size 8)","No","No","No","No","No","unknown"
"girly",6.507394156527958E-9,3.681344771265513E-6,4.1966973126501535E-4,3.0600942356329023E-6,0.9931779214702431,5.694477280104046E-11,0.006395660795145977,235,1066,"BCBGMAXAZRIA","DRESS ",179.99,4,"white",,"80% viscose, 20% nylon","92% polyester, 8% elastane","Hand wash only",,,"Zip",,"Round neckline","Plain","Slip, border","Extra short","Extra short","Short",,"Slim Fit","Slim fit",,,"No","No","No","No","No","girly"
